epoch,accuracy,loss,val_accuracy,val_loss
0,0.718999981880188,0.8270045518875122,0.8475000262260437,0.31561437249183655
1,0.8399999737739563,0.38689935207366943,0.8387500047683716,0.36611199378967285
2,0.8790000081062317,0.3199879825115204,0.9024999737739563,0.27733394503593445
3,0.9100000262260437,0.25323620438575745,0.8962500095367432,0.2884787917137146
4,0.921999990940094,0.219349205493927,0.90625,0.2664675712585449
5,0.925000011920929,0.1985798329114914,0.9049999713897705,0.2584454119205475
6,0.9369999766349792,0.16164225339889526,0.8324999809265137,0.5221371054649353
7,0.9559999704360962,0.12503254413604736,0.9075000286102295,0.292131245136261
8,0.9580000042915344,0.10298971086740494,0.9049999713897705,0.3465573489665985
9,0.9629999995231628,0.08902151137590408,0.9024999737739563,0.3598218560218811
